Country,Year,Medal
Algeria,1992,1
Algeria,1996,2
Algeria,2000,1
Algeria,2012,1
Argentina,1924,5
Argentina,1928,3
Argentina,1932,3
Argentina,1936,5
Argentina,1948,3
Argentina,1952,2
Argentina,2004,28
Argentina,2008,20
Argentina,2012,1
Argentina,2016,21
Armenia,1996,1
Armenia,2016,1
Australia,1896,2
Australia,1900,3
Australia,1908,15
Australia,1912,5
Australia,1924,4
Australia,1928,1
Australia,1932,3
Australia,1948,2
Australia,1952,7
Australia,1956,28
Australia,1960,11
Australia,1964,8
Australia,1968,5
Australia,1972,11
Australia,1980,6
Australia,1984,7
Australia,1988,18
Australia,1992,14
Australia,1996,32
Australia,2000,60
Australia,2002,2
Australia,2004,49
Australia,2006,1
Australia,2008,31
Australia,2010,2
Australia,2012,18
Australia,2016,23
Austria,1896,2
Austria,1904,2
Austria,1906,3
Austria,1924,3
Austria,1928,3
Austria,1932,2
Austria,1936,7
Austria,1948,3
Austria,1952,2
Austria,1956,5
Austria,1960,2
Austria,1964,5
Austria,1968,3
Austria,1972,1
Austria,1976,2
Austria,1980,4
Austria,1984,1
Austria,1988,4
Austria,1992,9
Austria,1994,2
Austria,1998,3
Austria,2000,3
Austria,2002,3
Austria,2004,3
Austria,2006,16
Austria,2010,11
Austria,2014,4
Azerbaijan,2000,2
Azerbaijan,2004,1
Azerbaijan,2008,1
Azerbaijan,2012,2
Azerbaijan,2016,1
Bahamas,1964,2
Bahamas,2000,6
Bahamas,2004,1
Bahamas,2012,4
Bahamas,2016,1
Bahrain,2016,1
Belarus,1996,1
Belarus,2000,3
Belarus,2004,2
Belarus,2008,8
Belarus,2010,1
Belarus,2012,3
Belarus,2014,5
Belarus,2016,1
Belgium,1900,6
Belgium,1906,2
Belgium,1908,1
Belgium,1912,7
Belgium,1920,57
Belgium,1924,3
Belgium,1948,7
Belgium,1952,5
Belgium,1964,2
Belgium,1980,1
Belgium,1984,1
Belgium,1996,2
Belgium,2004,1
Belgium,2008,1
Belgium,2016,2
Brazil,1920,1
Brazil,1952,1
Brazil,1956,1
Brazil,1980,4
Brazil,1984,1
Brazil,1988,1
Brazil,1992,13
Brazil,1996,5
Brazil,2004,18
Brazil,2008,14
Brazil,2012,14
Brazil,2016,36
Bulgaria,1956,1
Bulgaria,1960,1
Bulgaria,1964,3
Bulgaria,1968,2
Bulgaria,1972,6
Bulgaria,1976,8
Bulgaria,1980,8
Bulgaria,1988,10
Bulgaria,1992,3
Bulgaria,1996,3
Bulgaria,1998,1
Bulgaria,2000,5
Bulgaria,2004,2
Bulgaria,2008,1
Burundi,1996,1
Cameroon,2000,18
Cameroon,2004,1
Cameroon,2008,1
Canada,1900,1
Canada,1904,27
Canada,1906,1
Canada,1908,14
Canada,1912,3
Canada,1920,10
Canada,1924,9
Canada,1928,19
Canada,1932,16
Canada,1936,1
Canada,1948,13
Canada,1952,17
Canada,1956,5
Canada,1960,3
Canada,1964,6
Canada,1968,4
Canada,1976,1
Canada,1984,21
Canada,1988,4
Canada,1992,32
Canada,1994,3
Canada,1996,8
Canada,1998,14
Canada,2000,4
Canada,2002,52
Canada,2004,3
Canada,2006,30
Canada,2008,11
Canada,2010,67
Canada,2012,1
Canada,2014,59
Canada,2016,4
Chile,2004,3
China,1984,24
China,1988,6
China,1992,18
China,1996,20
China,2000,39
China,2002,2
China,2004,52
China,2006,2
China,2008,74
China,2010,9
China,2012,56
China,2014,3
China,2016,46
Colombia,2000,1
Colombia,2012,1
Colombia,2016,3
Costa Rica,1996,1
Croatia,1996,16
Croatia,2000,1
Croatia,2002,3
Croatia,2004,15
Croatia,2006,1
