MODEL NAME,CATEGORY,YEAR NUMBER,MONTH,Total
ADV150,AT,Year: 2020,1,2231
ADV150,AT,Year: 2020,2,1872
ADV150,AT,Year: 2020,3,1812
ADV150,AT,Year: 2020,4,873
ADV150,AT,Year: 2020,5,1111
ADV150,AT,Year: 2020,6,1389
ADV150,AT,Year: 2020,7,1325
ADV150,AT,Year: 2020,8,1420
ADV150,AT,Year: 2020,9,1129
ADV150,AT,Year: 2020,10,1010
ADV150,AT,Year: 2020,11,878
ADV150,AT,Year: 2020,12,1088
CB150R,SPORT,Year: 2020,1,514
CB150R,SPORT,Year: 2020,2,532
CB150R,SPORT,Year: 2020,3,652
CB150R,SPORT,Year: 2020,4,250
CB150R,SPORT,Year: 2020,5,262
CB150R,SPORT,Year: 2020,6,376
CB150R,SPORT,Year: 2020,7,398
CB150R,SPORT,Year: 2020,8,387
CB150R,SPORT,Year: 2020,9,323
CB150R,SPORT,Year: 2020,10,326
CB150R,SPORT,Year: 2020,11,245
CB150R,SPORT,Year: 2020,12,233
CB300F,SPORT,Year: 2020,1,5
CB300F,SPORT,Year: 2020,2,5
CB300F,SPORT,Year: 2020,3,3
CB300F,SPORT,Year: 2020,4,4
CB300F,SPORT,Year: 2020,5,5
CB300F,SPORT,Year: 2020,6,7
CB300F,SPORT,Year: 2020,7,11
CB300F,SPORT,Year: 2020,8,8
CB300F,SPORT,Year: 2020,9,4
CB300F,SPORT,Year: 2020,10,7
CB300F,SPORT,Year: 2020,11,6
CB300F,SPORT,Year: 2020,12,5
CB300R,SPORT,Year: 2020,1,159
CB300R,SPORT,Year: 2020,2,70
CB300R,SPORT,Year: 2020,3,150
CB300R,SPORT,Year: 2020,4,38
CB300R,SPORT,Year: 2020,5,55
CB300R,SPORT,Year: 2020,6,89
CB300R,SPORT,Year: 2020,7,69
CB300R,SPORT,Year: 2020,8,85
CB300R,SPORT,Year: 2020,9,110
CB300R,SPORT,Year: 2020,10,85
CB300R,SPORT,Year: 2020,11,70
CB300R,SPORT,Year: 2020,12,36
CBR150,SPORT,Year: 2020,1,41
CBR150,SPORT,Year: 2020,2,39
CBR150,SPORT,Year: 2020,3,23
CBR150,SPORT,Year: 2020,4,14
CBR150,SPORT,Year: 2020,5,14
CBR150,SPORT,Year: 2020,6,12
CBR150,SPORT,Year: 2020,7,14
CBR150,SPORT,Year: 2020,8,23
CBR150,SPORT,Year: 2020,9,15
CBR150,SPORT,Year: 2020,10,15
CBR150,SPORT,Year: 2020,11,21
CBR150,SPORT,Year: 2020,12,12
CBR150R,SPORT,Year: 2020,1,681
CBR150R,SPORT,Year: 2020,2,571
CBR150R,SPORT,Year: 2020,3,669
CBR150R,SPORT,Year: 2020,4,287
CBR150R,SPORT,Year: 2020,5,392
CBR150R,SPORT,Year: 2020,6,472
CBR150R,SPORT,Year: 2020,7,453
CBR150R,SPORT,Year: 2020,8,517
CBR150R,SPORT,Year: 2020,9,398
CBR150R,SPORT,Year: 2020,10,405
CBR150R,SPORT,Year: 2020,11,380
CBR150R,SPORT,Year: 2020,12,427
CBR250RR,SPORT,Year: 2020,1,10
CBR250RR,SPORT,Year: 2020,2,19
CBR250RR,SPORT,Year: 2020,3,36
CBR250RR,SPORT,Year: 2020,4,17
CBR250RR,SPORT,Year: 2020,5,16
CBR250RR,SPORT,Year: 2020,6,14
CBR250RR,SPORT,Year: 2020,7,15
CBR250RR,SPORT,Year: 2020,8,21
CBR250RR,SPORT,Year: 2020,9,18
CBR250RR,SPORT,Year: 2020,10,28
CBR250RR,SPORT,Year: 2020,11,42
CBR250RR,SPORT,Year: 2020,12,35
CBR300R,SPORT,Year: 2020,1,46
CBR300R,SPORT,Year: 2020,2,31
CBR300R,SPORT,Year: 2020,3,36
CBR300R,SPORT,Year: 2020,4,17
CBR300R,SPORT,Year: 2020,5,12
CBR300R,SPORT,Year: 2020,6,20
CBR300R,SPORT,Year: 2020,7,44
CBR300R,SPORT,Year: 2020,8,28
CBR300R,SPORT,Year: 2020,9,24
CBR300R,SPORT,Year: 2020,10,24
CBR300R,SPORT,Year: 2020,11,14
